,사고날짜,주/야 구분,사망자 수,부상자 수,시군구 코드,사고유형 코드
692,2019032619,야간,1,2,1101,01
693,2019032620,야간,1,1,1313,38
694,2019032703,야간,1,2,1501,23
695,2019032715,주간,1,1,1116,05
696,2019032717,주간,1,1,2030,22
697,2019032718,야간,1,1,1605,22
698,2019032800,야간,1,1,1325,04
699,2019032803,야간,1,6,2030,04
700,2019032804,야간,1,1,1304,05
701,2019032812,주간,1,1,1326,05
702,2019032813,주간,1,1,1520,38
703,2019032817,주간,1,1,2016,01
704,2019032819,야간,1,1,1623,23
705,2019032819,야간,1,1,1723,32
706,2019032819,야간,1,1,1501,22
707,2019032906,주간,1,1,1321,22
708,2019032906,주간,1,6,1303,22
709,2019032910,주간,1,1,1215,01
710,2019032910,주간,1,2,1902,23
711,2019032911,주간,1,1,2502,05
712,2019032916,주간,1,1,2201,05
713,2019032916,주간,1,6,1906,25
714,2019032919,야간,1,2,2403,05
715,2019032919,야간,1,1,1324,01
716,2019032920,야간,1,1,1611,02
717,2019032920,야간,1,1,1714,34
718,2019032922,야간,1,9,1325,25
719,2019032923,야간,1,1,1306,01
720,2019033010,주간,1,5,1903,21
