rank,name,level,win
960,Witt Zoe,241,77
961,최현우,418,257
962,욤 네,369,75
963,좀비 클레드,834,291
964,피망 고기채,51,54
965,JYIAM,167,148
966,을려대써 싸이렌,51,105
967,지조있게,581,326
968,ig baek,64,138
969,생명이끊어진사람,237,88
970,CREE,273,94
971,이강뚝,162,95
972,zCAMILEKINGz,361,292
973,시계왕,295,111
974,DWG 암Canyon,348,253
975,qwertyuiopzxcv,134,161
976,이도류,597,190
977,WANG PIAO LIANG,147,186
978,종글인,155,162
979,조광희1,268,95
980,asdgsadasd,257,422
981,Hang in buddy,81,390
982,처피뱅 카와이,672,160
983,T1 Minous,84,149
984,ANG TV,571,78
985,lztxljjianiaijia,80,148
986,EDGY About,174,92
987,eddie hoang,53,167
988,맑은 숲속으로,160,239
989,peeeeeeeeeeeeee,308,72
990,zoop6,57,122
991,be meo,57,204
992,gaoxiaoyouxi,288,425
993,흠 산,65,192
994,피라미드꼭대기,433,193
995,fajafa,230,364
996,Ahriman LYH,92,92
997,Haojay,73,205
998,2020karsa,43,95
999,juiceqnq,53,131
1000,NS Haenam,373,603
